Date,Close
2004-01-28,359.23
2004-01-29,354.22
2004-01-30,353.31
2004-02-02,355.47
2004-02-03,351.74
2004-02-04,348.99
2004-02-05,349.85
2004-02-06,351.35
2004-02-09,355.49
2004-02-10,355.77
2004-02-11,357.61
2004-02-12,358.35
2004-02-13,355.64
2004-02-16,357.67
2004-02-17,361.02
2004-02-18,361.34
2004-02-19,364.8
2004-02-20,362.37
2004-02-23,359.93
2004-02-24,354.21
2004-02-25,355.04
2004-02-26,355.99
2004-02-27,356.59
2004-03-01,358.63
2004-03-02,362.23
2004-03-03,360.1
2004-03-04,361.52
2004-03-05,359.93
2004-03-08,360.82
2004-03-09,355.5
2004-03-10,354.52
2004-03-11,344.05
2004-03-12,345.99
2004-03-15,337.22
2004-03-16,338.46
2004-03-17,345.11
2004-03-18,336.93
2004-03-19,336.24
2004-03-22,328.38
2004-03-23,329.21
2004-03-24,326.33
2004-03-25,334.53
2004-03-26,335.24
2004-03-29,340.51
2004-03-30,339.83
2004-03-31,338.87
2004-04-01,342.46
2004-04-02,350.52
2004-04-05,352.3
2004-04-06,349.65
2004-04-07,350.49
2004-04-08,350.96
2004-04-13,353.34
2004-04-14,349.86
2004-04-15,349.98
2004-04-16,352.76
2004-04-19,352.89
2004-04-20,355.76
2004-04-21,353.88
2004-04-22,355.38
2004-04-23,356.62
2004-04-26,354.57
2004-04-27,353.99
2004-04-28,347.92
2004-04-29,343.51
2004-04-30,341.41
2004-05-03,343.62
2004-05-04,343.09
2004-05-05,345.63
2004-05-06,338.57
2004-05-07,337.97
2004-05-10,329.46
2004-05-11,332.96
2004-05-12,326.01
2004-05-13,330.7
2004-05-14,327.39
2004-05-17,323
2004-05-18,326.34
2004-05-19,332.7
2004-05-20,330.58
2004-05-21,330.49
2004-05-24,333.94
2004-05-25,331.54
2004-05-26,334.52
2004-05-27,338.17
2004-05-28,336.95
2004-05-31,337.19
2004-06-01,331.88
2004-06-02,334.48
2004-06-03,336.57
2004-06-04,339.08
2004-06-07,342.42
2004-06-08,342.73
2004-06-09,341.74
2004-06-10,342.11
2004-06-11,341.36
2004-06-14,337.29
2004-06-15,339.81
2004-06-16,342.12
2004-06-17,342.55
2004-06-18,343.38
2004-06-21,343.87
2004-06-22,339.62
2004-06-23,340.37
2004-06-24,343.14
2004-06-25,343.43
2004-06-28,347.15
2004-06-29,346.35
2004-06-30,345.13
2004-07-01,345.87
2004-07-02,341.83
2004-07-05,339.84
2004-07-06,335.92
2004-07-07,334.79
2004-07-08,335.56
2004-07-09,335.94
2004-07-12,333.53
2004-07-13,333.8
2004-07-14,332.72
2004-07-15,328.63
2004-07-16,328.77
2004-07-19,326.68
2004-07-20,328.06
2004-07-21,331.37
2004-07-22,324.97
2004-07-23,324.68
2004-07-26,320.72
2004-07-27,324.72
2004-07-28,324.32
2004-07-29,330.71
2004-07-30,329.91
2004-08-02,325.87
2004-08-03,326.93
2004-08-04,323.39
2004-08-05,325.85
2004-08-06,315.74
2004-08-09,313.08
2004-08-10,316.24
2004-08-11,312.86
2004-08-12,311.57
2004-08-13,310.68
2004-08-16,314.37
2004-08-17,315.72
2004-08-18,316.69
2004-08-19,317.29
2004-08-20,316.5
2004-08-23,321.72
2004-08-24,321.55
2004-08-25,322.08
2004-08-26,324.5
2004-08-27,326.31
2004-08-30,325.73
2004-08-31,323.12
2004-09-01,325.27
2004-09-02,326.85
2004-09-03,328.75
2004-09-06,330.68
2004-09-07,331.74
2004-09-08,331.28
2004-09-09,327.87
2004-09-10,329.72
2004-09-13,334.19
2004-09-14,333.15
2004-09-15,332.07
2004-09-16,332.11
2004-09-17,334.9
2004-09-20,331.92
2004-09-21,334.07
2004-09-22,329.45
2004-09-23,326.37
2004-09-24,325.91
2004-09-27,323.47
2004-09-28,324.26
2004-09-29,325.3
2004-09-30,323.94
2004-10-01,330.87
2004-10-04,335.19
2004-10-05,336.1
2004-10-06,336.95
2004-10-07,337.68
2004-10-08,334.91
2004-10-11,334.43
2004-10-12,329.82
2004-10-13,331.53
2004-10-14,328.73
2004-10-15,327.94
2004-10-18,326.65
2004-10-19,330.15
2004-10-20,325.51
2004-10-21,326.65
2004-10-22,327.03
2004-10-25,322.03
2004-10-26,323.12
